treatment,baseline,age,site,outcome,prediction
1,0.35,51,north,10.33,9.143858079286955
1,-0.4,49,east,7.36,7.180600990342306
0,-0.29,54,west,7.37,6.101435294400258
1,0.45,59,north,9.73,9.474379968499905
1,-0.17,35,east,6.65,7.123433084487879
0,0.21,32,west,7.44,6.189945000812503
1,-2.02,49,south,4.72,4.413144903651061
0,-0.94,38,east,5.52,4.915140007961011
1,1.4,36,west,9.75,9.115380768892525
0,-0.02,38,west,6.86,6.045293585421446
1,-1.67,47,east,6.08,5.495623546844124
1,-1.07,45,south,4.58,5.53490963871924
0,-0.99,56,east,5.38,5.3048821967796185
0,0.1,45,west,5.91,6.376328573072203
0,-0.43,42,north,6.29,6.619965764095113
0,-0.66,28,north,5.61,5.970766045590345
0,0.0,31,east,5.4,5.948352240765387
0,0.48,20,west,6.25,6.234712952456433
0,-0.26,20,north,6.79,6.283756996214722
0,-0.57,53,west,6.13,5.715840688935669
1,-0.42,51,east,6.84,7.205315307060184
1,0.34,44,north,9.98,8.95439591640041
0,-0.01,59,west,6.69,6.587939560487589
1,0.77,20,north,9.55,8.902358994924057
1,-1.15,35,east,5.3,5.862147918406717
1,-0.78,58,west,7.26,6.864667920626861
1,0.77,24,north,10.0,9.0032686555468
0,-0.8,41,east,3.5,5.171005848582519
1,1.38,48,north,9.92,10.393812283884792
0,1.41,22,north,8.26,8.483544711582766
1,1.39,31,south,9.41,8.347808998539293
1,-0.88,45,south,6.07,5.779444517857425
1,0.08,35,east,7.39,7.445189504406542
0,-0.49,56,south,7.07,5.265920550998641
1,0.92,41,east,9.65,8.677655566267365
0,1.71,48,south,6.61,7.895557725037397
1,0.87,33,north,9.42,9.359017959915436
0,0.01,47,east,6.71,6.364861140053103
1,-0.37,24,east,7.82,6.588526381840406
0,0.65,49,north,8.68,8.18654540423354
0,-1.22,24,east,4.66,4.201589005472509
1,0.54,31,east,8.0,7.936311656434142
0,-0.91,35,south,3.31,4.195594047265889
1,0.62,45,east,9.13,8.392457522987712
1,-0.16,45,west,7.86,7.334667445001234
1,-0.39,40,north,8.86,7.9139575096151695
1,-0.89,58,south,6.17,6.094530658084591
1,-0.36,55,south,6.99,6.700972022845102
1,0.56,52,west,8.1,8.437917840456784
1,1.04,49,north,9.11,9.981450967951096
1,0.53,56,north,9.08,9.501659777406822
1,1.36,42,south,7.28,8.586699794861595
1,2.54,29,east,11.1,10.45990818547208
1,-0.32,24,south,4.26,5.970403180205835
0,-0.21,55,north,9.11,7.23106781064745
0,-1.44,53,west,4.03,4.59612834761872
1,1.19,50,south,9.95,8.569724750562388
1,1.3,29,north,9.03,9.811529341552795
1,-0.87,38,south,6.16,5.615722868564372
1,0.62,51,east,7.93,8.543822013921826
1,1.22,20,south,9.22,7.851513066282061
1,0.23,24,south,6.75,6.678267304026895
1,0.85,23,north,9.85,9.081003294765086
1,0.17,35,north,8.54,8.508554814454548
0,-1.22,43,north,6.6,5.628442892307821
1,1.05,35,south,8.61,8.011129928072654
0,1.33,21,east,6.27,7.407822243175822
1,0.73,47,west,7.54,8.530575130223047
1,-0.95,51,west,5.45,6.46928164899237
0,-0.75,46,north,6.82,6.309027207221966
1,-1.13,39,north,6.51,6.936331091500239
0,0.77,43,south,4.69,6.559616510364794
1,1.27,31,west,9.19,8.821930354756393
1,0.42,54,north,8.4,9.309632122331237
0,0.94,52,east,6.38,7.687932097928959
1,-0.87,52,east,6.6,6.651381166362276
0,0.15,56,north,7.08,7.719624470486011
1,-1.37,31,north,6.45,6.4256256071328375
0,-0.77,22,west,6.62,4.676385683174486
0,0.88,20,west,6.0,6.749523224326294
1,-0.24,52,south,6.1,6.779732858939003
1,1.21,59,west,9.69,9.45107643833511
0,0.54,29,east,5.68,6.59289127747833
1,2.73,48,east,11.21,11.183763952568292
1,0.09,32,north,8.53,8.32991051461352
1,-1.41,31,west,5.27,5.372701533228318
0,-0.03,50,south,6.02,5.706587872714868
0,-0.96,21,east,5.01,4.460533436720863
0,0.98,54,east,8.68,7.789867955427317
0,0.04,42,south,5.59,5.59486034904661
0,-0.14,36,south,5.57,5.211831235771059
0,-0.12,45,east,6.94,6.147092971384026
0,0.74,27,east,6.78,6.799841583101889
0,-0.45,48,south,5.29,5.115582256940143
0,0.78,45,east,7.69,7.305416083091216
1,1.05,29,north,8.73,9.489772921634131
0,-0.34,45,north,6.89,6.811480320732889
1,-0.93,53,south,5.47,5.916912555119177
1,-0.51,26,west,6.77,6.404887569157079
1,0.71,23,south,8.26,7.270812215115043
0,0.09,30,south,5.65,5.356482651162116
0,0.63,48,west,7.0,7.134134428766827
0,1.76,55,west,7.36,8.765065352888985
0,0.23,44,west,5.94,6.5184144962742225
1,-0.81,40,north,6.39,7.373406724151814
